Date,Open,High,Low,Close,Volume,Adj Close
2011-03-14,57.80,58.38,57.27,57.78,3186500,57.78
2011-03-11,58.05,58.80,57.61,58.39,3435100,58.39
2011-03-10,59.00,59.18,57.87,58.73,3300800,58.73
2011-03-09,60.27,60.56,59.21,59.39,3118600,59.39
2011-03-08,61.52,61.56,59.30,59.96,3712900,59.96
2011-03-07,60.47,62.00,60.28,61.26,3057300,61.26
2011-03-04,61.07,61.68,60.18,60.60,2574100,60.60
2011-03-03,60.80,61.49,60.46,60.96,2621200,60.96
2011-03-02,59.29,60.62,59.10,60.33,2822300,60.33
2011-03-01,61.00,61.55,59.56,59.82,3050300,59.82
2011-02-28,59.15,60.59,58.96,60.26,3086900,60.26
2011-02-25,59.35,59.49,58.88,59.18,2478100,59.18
2011-02-24,58.25,59.62,58.08,59.00,4070900,59.00
2011-02-23,59.09,59.90,58.69,58.75,3444600,58.75
2011-02-22,59.00,60.02,58.32,59.49,3908800,59.49
2011-02-21,61.31,61.42,59.69,59.90,3227500,59.90
2011-02-18,61.35,61.54,60.77,61.54,3463200,61.54
2011-02-17,60.62,61.10,60.19,60.97,2789900,60.97
2011-02-16,61.30,61.48,60.30,60.30,3293900,60.30
2011-02-15,59.67,60.73,59.60,60.56,3698600,60.56
2011-02-14,58.30,59.49,58.23,59.49,2736000,59.49
2011-02-11,58.38,58.58,57.59,58.04,2594100,58.04
2011-02-10,57.62,58.59,57.50,58.53,2489900,58.53
2011-02-09,57.85,58.24,57.60,57.82,2057700,57.82
2011-02-08,58.18,58.38,57.52,57.69,2867600,57.69
2011-02-07,57.43,58.62,57.01,58.45,2965100,58.45
2011-02-04,58.09,58.24,57.12,57.35,2634100,57.35
2011-02-03,57.93,58.13,57.19,57.77,2719700,57.77
2011-02-02,57.71,58.55,57.39,58.04,3706100,58.04
2011-02-01,56.50,58.06,56.34,58.00,3919800,58.00
2011-01-31,56.30,56.72,55.75,56.18,2474400,56.18
2011-01-28,57.18,57.39,56.09,56.29,2900600,56.29
2011-01-27,57.40,58.22,57.21,57.41,3643400,57.41
2011-01-26,56.39,57.55,56.17,57.22,2985600,57.22
2011-01-25,55.93,57.38,55.20,56.12,4382900,56.12
2011-01-24,56.68,56.82,54.27,55.93,4157800,55.93
