Date,Open,High,Low,Close,Volume,Adj Close
2011-03-15,6668.99,6714.83,6483.39,6647.66,89815800,6647.66
2011-03-14,6896.31,6946.44,6847.94,6866.63,54185000,6866.63
2011-03-11,7002.26,7014.02,6963.31,6981.49,46873100,6981.49
2011-03-10,7078.69,7109.71,7021.95,7063.09,39693500,7063.09
2011-03-09,7177.55,7217.54,7109.26,7131.80,35117700,7131.80
2011-03-08,7211.06,7222.16,7072.47,7164.75,35838600,7164.75
2011-03-07,7137.81,7270.81,7127.31,7161.93,28893000,7161.93
2011-03-04,7262.54,7311.25,7157.12,7178.90,33634300,7178.90
2011-03-03,7225.23,7294.04,7191.14,7225.96,31783400,7225.96
2011-03-02,7169.04,7202.58,7122.69,7181.12,36461600,7181.12
2011-03-01,7309.80,7356.33,7193.78,7223.30,36894600,7223.30
2011-02-28,7173.59,7305.49,7148.94,7272.32,35941200,7272.32
2011-02-25,7139.88,7194.02,7130.15,7185.17,34238300,7185.17
2011-02-24,7134.70,7156.05,7093.91,7130.50,47085000,7130.50
2011-02-23,7295.12,7310.73,7183.30,7194.60,36741300,7194.60
2011-02-22,7293.11,7350.95,7259.67,7318.35,39212800,7318.35
2011-02-21,7412.06,7441.82,7310.69,7321.81,32484400,7321.81
2011-02-18,7422.11,7427.30,7379.94,7426.81,49458200,7426.81
2011-02-17,7429.00,7434.93,7364.04,7405.51,37389200,7405.51
2011-02-16,7414.23,7438.42,7399.82,7414.30,45810600,7414.30
2011-02-15,7397.68,7420.69,7376.24,7400.04,36099500,7400.04
2011-02-14,7403.83,7424.36,7378.41,7396.63,26660000,7396.63
2011-02-11,7320.07,7390.48,7283.87,7371.20,34588400,7371.20
2011-02-10,7322.62,7340.87,7269.53,7340.28,36583200,7340.28
2011-02-09,7319.12,7350.78,7310.44,7320.90,28514000,7320.90
2011-02-08,7274.17,7325.03,7272.80,7323.24,35605000,7323.24
2011-02-07,7222.05,7287.66,7214.05,7283.62,31565200,7283.62
2011-02-04,7216.66,7226.64,7186.24,7216.21,31836400,7216.21
2011-02-03,7175.75,7198.98,7144.08,7193.68,34878500,7193.68
2011-02-02,7202.62,7222.13,7160.36,7183.67,40675400,7183.67
2011-02-01,7133.34,7190.75,7105.31,7184.27,38952900,7184.27
2011-01-31,7094.56,7107.37,7033.09,7077.48,31186300,7077.48
2011-01-28,7155.47,7177.23,7102.80,7102.80,34172300,7102.80
2011-01-27,7120.64,7180.15,7114.35,7155.58,38526300,7155.58
2011-01-26,7092.89,7160.86,7087.25,7127.35,38158300,7127.35
2011-01-25,7096.84,7102.08,7043.64,7059.01,51252800,7059.01
2011-01-24,7080.78,7089.62,7000.41,7067.77,49538600,7067.77
2011-01-21,7047.70,7122.89,7023.69,7062.42,64352000,7062.42
2011-01-20,7074.89,7084.24,7008.62,7024.27,48538600,7024.27
2011-01-19,7163.37,7165.00,7077.23,7082.76,36740100,7082.76
2011-01-18,7100.48,7156.25,7099.12,7143.45,37225200,7143.45
