Date,Open,High,Low,Close,Volume,Adj Close
2011-03-15,110.00,110.50,103.30,108.95,2851300,108.95
2011-03-14,112.25,114.50,111.65,113.20,961000,113.20
2011-03-11,113.10,115.50,112.70,114.30,931800,114.30
2011-03-10,117.50,118.05,113.65,114.20,1792600,114.20
2011-03-09,119.00,120.35,117.90,118.45,998100,118.45
2011-03-08,118.00,119.20,116.40,118.65,863600,118.65
2011-03-07,115.20,117.85,114.70,115.95,867700,115.95
2011-03-04,120.25,120.75,116.30,117.10,773100,117.10
2011-03-03,120.10,121.30,118.60,119.05,866300,119.05
2011-03-02,119.00,119.85,117.10,119.20,1311200,119.20
2011-03-01,123.50,125.75,119.60,120.95,1262000,120.95
2011-02-28,120.50,123.25,119.75,122.90,1214700,122.90
2011-02-25,113.25,119.50,112.75,119.40,1856900,119.40
2011-02-24,113.95,115.00,111.50,112.45,1631500,112.45
2011-02-23,119.70,120.25,115.05,115.90,1229400,115.90
2011-02-22,117.20,121.45,116.10,120.70,1073500,120.70
2011-02-21,119.65,120.85,116.80,117.35,848400,117.35
2011-02-18,121.50,121.55,118.65,119.65,880900,119.65
2011-02-17,123.05,123.50,118.55,121.05,1212500,121.05
2011-02-16,122.25,123.35,120.60,123.00,1342000,123.00
2011-02-15,125.95,127.60,121.85,122.25,1139200,122.25
2011-02-14,128.75,129.40,125.60,126.65,760700,126.65
2011-02-11,124.30,128.20,123.60,128.20,1147500,128.20
2011-02-10,122.85,124.90,122.05,124.90,649700,124.90
2011-02-09,122.95,124.30,122.10,123.40,905600,123.40
2011-02-08,119.05,123.20,118.00,122.90,1460200,122.90
2011-02-07,115.40,119.00,114.60,119.00,891000,119.00
2011-02-04,115.50,116.00,113.95,115.35,693000,115.35
2011-02-03,115.55,116.55,112.75,116.00,948300,116.00
2011-02-02,118.40,120.60,115.05,115.80,1313500,115.80
2011-02-01,119.00,120.15,117.20,118.15,888100,118.15
2011-01-31,119.75,120.10,116.20,118.00,1082800,118.00
2011-01-28,120.00,120.65,117.25,120.40,1130500,120.40
2011-01-27,119.15,120.65,116.45,118.05,1201100,118.05
2011-01-26,115.45,118.55,115.00,118.10,1148500,118.10
2011-01-25,116.35,117.20,113.65,114.35,1218200,114.35
2011-01-24,114.05,115.65,109.40,115.65,2161600,115.65
2011-01-21,116.50,116.95,111.80,114.00,2301300,114.00
2011-01-20,123.20,123.45,115.55,116.05,2411200,116.05
2011-01-19,123.80,124.30,120.80,121.65,1175700,121.65
2011-01-18,125.00,126.20,122.55,122.95,1121000,122.95
2011-01-17,126.55,126.80,123.15,124.25,817500,124.25
2011-01-14,126.30,128.85,125.55,125.75,867700,125.75
2011-01-13,131.05,131.80,125.70,125.70,1243100,125.70
2011-01-12,131.90,133.25,128.80,130.45,966200,130.45
2011-01-11,126.70,131.80,126.40,131.20,1094600,131.20
2011-01-10,127.75,128.05,126.05,126.85,545300,126.85
2011-01-07,126.00,129.20,125.45,127.85,895500,127.85
2011-01-06,126.45,127.35,124.50,124.85,900400,124.85
2011-01-05,128.80,129.55,122.20,125.75,1314400,125.75
2011-01-04,126.65,129.65,125.15,129.05,991800,129.05
2011-01-03,124.20,127.60,123.80,127.60,831700,127.60
2010-12-30,124.70,125.00,121.40,121.40,363600,121.40
2010-12-29,122.00,123.85,121.50,123.85,551800,123.85
2010-12-28,122.90,123.40,117.40,121.25,921100,121.25
2010-12-27,127.45,127.45,120.80,122.00,1152400,122.00
2010-12-23,130.50,130.50,127.55,128.10,402200,128.10
2010-12-22,129.10,131.80,128.30,129.85,588000,129.85
2010-12-21,127.00,129.15,125.95,129.15,636100,129.15
2010-12-20,122.40,126.80,122.05,126.25,665300,126.25
2010-12-17,127.30,127.30,121.80,121.80,1625300,121.80
2010-12-16,128.90,129.50,125.75,126.10,643100,126.10
2010-12-15,128.40,130.45,125.40,129.00,981700,129.00
2010-12-14,132.00,132.85,127.40,128.90,852400,128.90
2010-12-13,130.30,133.00,129.60,131.40,696700,131.40
2010-12-10,125.10,129.00,124.20,129.00,1036900,129.00
2010-12-09,131.00,131.15,120.20,124.20,3127900,124.20
2010-12-08,136.00,137.25,128.85,129.25,1387600,129.25
2010-12-07,137.20,138.50,136.10,136.90,1007100,136.90
2010-12-06,137.70,139.45,135.75,136.40,1103300,136.40
2010-12-03,130.00,135.60,129.50,135.15,1312300,135.15
2010-12-02,129.00,131.90,127.80,130.15,1668100,130.15
2010-12-01,124.55,128.65,124.55,127.80,1209400,127.80
2010-11-30,124.95,128.10,121.55,123.80,1348700,123.80
2010-11-29,128.95,129.00,123.60,124.30,1229300,124.30
2010-11-26,126.80,128.40,123.25,127.35,1121000,127.35
2010-11-25,124.75,127.30,124.50,127.05,692000,127.05
2010-11-24,121.10,124.75,118.40,124.35,1305900,124.35
2010-11-23,125.00,125.70,118.65,119.00,1930500,119.00
2010-11-22,125.00,127.20,124.60,125.90,1223300,125.90
2010-11-19,119.15,122.75,118.35,122.70,1082000,122.70
2010-11-18,117.20,119.50,116.70,119.15,847000,119.15
2010-11-17,115.30,116.35,114.15,115.90,698400,115.90
2010-11-16,116.80,118.00,115.10,115.50,1050300,115.50
2010-11-15,113.70,117.60,112.60,116.60,919000,116.60
2010-11-12,109.50,114.65,108.55,114.00,1110000,114.00
2010-11-11,109.95,111.15,109.10,110.60,691100,110.60
2010-11-10,110.85,111.20,108.10,108.65,911400,108.65
2010-11-09,109.05,113.10,108.30,111.45,984000,111.45
2010-11-08,108.40,109.05,107.75,108.85,407500,108.85
2010-11-05,108.20,108.50,106.90,107.65,682700,107.65
2010-11-04,108.00,108.40,106.80,107.80,784300,107.80
2010-11-03,106.60,108.00,106.00,106.75,1007900,106.75
2010-11-02,105.60,106.90,105.25,105.80,569400,105.80
2010-11-01,109.40,109.50,103.80,105.05,1203200,105.05
2010-10-29,107.75,109.40,106.50,108.00,1276300,108.00
2010-10-28,104.90,108.70,104.50,107.35,1261400,107.35
2010-10-27,104.80,105.30,103.60,104.45,1217200,104.45
2010-10-26,103.65,105.65,101.75,104.65,1829400,104.65
2010-10-25,99.50,103.50,99.26,103.35,2007400,103.35
2010-10-22,93.89,98.36,93.22,96.76,2126600,96.76
2010-10-21,90.44,94.49,90.31,93.78,1091000,93.78
2010-10-20,89.85,90.90,89.32,90.54,493700,90.54
2010-10-19,91.40,92.64,89.85,90.30,688000,90.30
2010-10-18,91.59,92.18,91.18,91.50,529800,91.50
2010-10-15,91.18,92.70,90.57,92.20,1150400,92.20
2010-10-14,91.32,92.15,90.59,91.14,588100,91.14
2010-10-13,92.50,92.50,90.30,90.59,836800,90.59
2010-10-12,90.50,92.28,89.39,91.17,986300,91.17
2010-10-11,89.94,90.86,89.89,90.54,704700,90.54
2010-10-08,87.50,89.82,87.00,89.28,805100,89.28
2010-10-07,85.30,88.09,84.63,87.13,808800,87.13
2010-10-06,85.00,87.19,84.51,84.95,1709000,84.95
2010-10-05,83.75,84.60,81.80,83.97,2599700,83.97
2010-10-04,87.00,87.26,82.79,83.36,2102300,83.36
2010-10-01,88.43,89.50,86.30,86.50,952700,86.50
2010-09-30,89.45,90.00,88.22,88.53,896800,88.53
2010-09-29,90.69,91.15,88.95,89.95,689500,89.95
2010-09-28,91.00,91.24,89.15,90.29,724300,90.29
2010-09-27,91.07,91.32,89.62,91.06,388800,91.06
2010-09-24,88.75,91.13,88.28,90.93,642500,90.93
2010-09-23,91.23,91.23,87.59,88.75,715500,88.75
2010-09-22,91.93,92.19,89.57,90.78,609500,90.78
2010-09-21,91.83,92.60,91.20,91.82,572400,91.82
2010-09-20,91.30,91.90,90.69,91.82,673100,91.82
2010-09-17,89.80,92.71,89.33,91.21,3414600,91.21
2010-09-16,89.79,89.93,87.82,88.88,785300,88.88
2010-09-15,89.02,89.92,88.79,89.57,657800,89.57
2010-09-14,88.90,89.25,88.08,89.02,688600,89.02
2010-09-13,88.56,89.61,88.25,88.96,1045900,88.96
2010-09-10,85.50,88.07,85.21,87.78,1054700,87.78
2010-09-09,83.28,85.42,82.61,85.42,1037400,85.42
2010-09-08,83.22,84.15,82.23,83.33,820000,83.33
2010-09-07,83.01,83.39,82.31,83.30,422800,83.30
2010-09-06,83.20,83.30,82.31,83.14,461700,83.14
2010-09-03,81.82,83.60,81.44,82.80,560200,82.80
2010-09-02,80.49,82.17,79.34,81.55,645500,81.55
