pas,time
42023,1996m1
43769,1996m2
51888,1996m3
48605,1996m4
49818,1996m5
51668,1996m6
53258,1996m7
54820,1996m8
45590,1996m9
49625,1996m10
44737,1996m11
49150,1996m12
45177,1997m1
43499,1997m2
53741,1997m3
49733,1997m4
51105,1997m5
53299,1997m6
55800,1997m7
56281,1997m8
47048,1997m9
50573,1997m10
47407,1997m11
49405,1997m12
45128,1998m1
44132,1998m2
53553,1998m3
52059,1998m4
53045,1998m5
55103,1998m6
57926,1998m7
57028,1998m8
47639,1998m9
52255,1998m10
49652,1998m11
50723,1998m12
46360,1999m1
45475,1999m2
55977,1999m3
53843,1999m4
53860,1999m5
57079,1999m6
60555,1999m7
59093,1999m8
50327,1999m9
55210,1999m10
53226,1999m11
51403,1999m12
46946,2000m1
48973,2000m2
59430,2000m3
56412,2000m4
58659,2000m5
61626,2000m6
63175,2000m7
61892,2000m8
52442,2000m9
56746,2000m10
55148,2000m11
52752,2000m12
49981,2001m1
48519,2001m2
59630,2001m3
57017,2001m4
57290,2001m5
60292,2001m6
63133,2001m7
63598,2001m8
34799,2001m9
44215,2001m10
44882,2001m11
45793,2001m12
43609,2002m1
43380,2002m2
54535,2002m3
50780,2002m4
52663,2002m5
55403,2002m6
57901,2002m7
57961,2002m8
45498,2002m9
53674,2002m10
50348,2002m11
55753,2002m12
49034,2003m1
46557,2003m2
56282,2003m3
52380,2003m4
54559,2003m5
58586,2003m6
63071,2003m7
61329,2003m8
49936,2003m9
55852,2003m10
52938,2003m11
56202,2003m12
50323,2004m1
51528,2004m2
61421,2004m3
60163,2004m4
59838,2004m5
64530,2004m6
68179,2004m7
65581,2004m8
53998,2004m9
60779,2004m10
58020,2004m11
59654,2004m12
55230,2005m1
53658,2005m2
67107,2005m3
62336,2005m4
64844,2005m5
67921,2005m6
71472,2005m7
67562,2005m8
57387,2005m9
60441,2005m10
59194,2005m11
60019,2005m12
56149,2006m1
53870,2006m2
66523,2006m3
63694,2006m4
64885,2006m5
67723,2006m6
70066,2006m7
66985,2006m8
56909,2006m9
62089,2006m10
60742,2006m11
61156,2006m12
57653,2007m1
54506,2007m2
67766,2007m3
65384,2007m4
67236,2007m5
70235,2007m6
73056,2007m7
71963,2007m8
59760,2007m9
64684,2007m10
62405,2007m11
61341,2007m12
58280,2008m1
57519,2008m2
68271,2008m3
63668,2008m4
66537,2008m5
68445,2008m6
70998,2008m7
68337,2008m8
54703,2008m9
60198,2008m10
54492,2008m11
57794,2008m12
52257,2009m1
50217,2009m2
61403,2009m3
59966,2009m4
60167,2009m5
64005,2009m6
68604,2009m7
65549,2009m8
55168,2009m9
59301,2009m10
55275,2009m11
57346,2009m12
53022,2010m1
49065,2010m2
62703,2010m3
60113,2010m4
61922,2010m5
65495,2010m6
69051,2010m7
66792,2010m8
57828,2010m9
62627,2010m10
58652,2010m11
59009,2010m12
