year,eletpus
1973 January,160217.989
1973 February,143538.699
1973 March,148158.37
1973 April,139589.44
1973 May,147395.124
1973 June,161243.674
1973 July,173733.007
1973 August,177365.364
1973 September,156875.032
1973 October,154197.466
1973 November,148137.609
1973 December,153604.858
1974 January,157554.691
1974 February,142748.458
1974 March,150342.206
1974 April,142311.633
1974 May,153812.873
1974 June,156440.089
1974 July,178247.304
1974 August,174119.001
1974 September,152467.442
1974 October,152195.832
1974 November,150070.855
1974 December,160009.019
1975 January,164623.08
1975 February,147349
1975 March,155760.211
1975 April,146494.879
1975 May,153531.08
1975 June,162716.96
1975 July,177056.505
1975 August,179930.892
1975 September,155440.826
1975 October,155187.742
1975 November,153035.097
1975 December,169628.296
1976 January,178608.612
1976 February,156965.799
1976 March,164466.676
1976 April,153467.392
1976 May,157664.467
1976 June,173673.719
1976 July,186691.04
1976 August,186638.696
1976 September,165237.437
1976 October,164009.445
1976 November,169346.291
1976 December,184144.107
1977 January,196665.182
1977 February,162949.088
1977 March,169437.171
1977 April,157117.355
1977 May,169596.403
1977 June,181031.212
1977 July,199167.726
1977 August,196363.166
1977 September,176497.56
1977 October,166645.282
1977 November,167388.072
1977 December,184589.27
1978 January,198107.635
1978 February,173745.731
1978 March,173460.887
1978 April,160012.982
1978 May,175548.628
1978 June,188585.386
1978 July,202947.293
1978 August,206658.749
1978 September,185802.058
1978 October,176013.116
1978 November,176389.093
1978 December,192105.353
1979 January,209986.749
1979 February,186587.309
1979 March,183154.004
1979 April,170260.472
1979 May,178409.356
1979 June,186976.379
1979 July,202522.477
1979 August,205100.592
1979 September,180974.646
1979 October,179953.363
1979 November,177769.508
1979 December,188970.171
1980 January,200296.33
1980 February,188961.379
1980 March,187744.8
1980 April,169016.585
1980 May,176066.486
1980 June,189748.486
1980 July,217057.853
1980 August,215629.382
1980 September,191697.74
1980 October,178761.034
1980 November,178771.361
1980 December,195848.927
1981 January,206758.205
1981 February,179859.91
1981 March,185833.882
1981 April,172841.342
1981 May,178138.553
1981 June,203020.751
1981 July,220654.747
1981 August,210639.415
1981 September,187051.489
1981 October,181557.59
1981 November,175791.753
1981 December,195825.699
1982 January,209694.373
1982 February,180545.573
1982 March,187967.965
1982 April,172876.502
1982 May,177479.981
1982 June,186447.119
1982 July,210865.079
1982 August,205891.676
1982 September,180875.268
1982 October,173172.248
1982 November,173598.759
1982 December,184957.943
1983 January,195870.844
1983 February,172725.19
1983 March,182768.722
1983 April,170668.876
1983 May,174724.813
1983 June,191367.206
1983 July,220446.836
1983 August,230193.46
1983 September,195817.014
1983 October,183136.711
1983 November,183170.681
1983 December,212555.333
1984 January,216923.729
1984 February,189810.043
1984 March,200387.475
1984 April,181381.139
1984 May,192550.198
1984 June,209967.314
1984 July,221526.162
1984 August,229531.666
1984 September,195411.388
1984 October,191142.43
1984 November,190601.865
1984 December,200231.958
1985 January,228147.888
1985 February,198488.497
1985 March,195250.388
1985 April,185173.312
