date,goldprice,oilprice,dow
03jan2000,291,25.73,1
04jan2000,281.25,24.64,2
05jan2000,280.5,23.59,3
06jan2000,279.4,23.55,4
07jan2000,282.3,23.02,5
08jan2000,282.3,23.02,6
09jan2000,282.3,23.02,0
10jan2000,281.7,23.59,1
11jan2000,281.7,24.29,2
12jan2000,281.55,24.85,3
13jan2000,282.57,24.95,4
14jan2000,283.5,26.25,5
15jan2000,283.5,26.25,6
16jan2000,283.5,26.25,0
17jan2000,285.4,26.21,1
18jan2000,286.25,26.6,2
19jan2000,286.9,25.58,3
20jan2000,288.75,26.92,4
21jan2000,288.6,27.3,5
22jan2000,288.6,27.3,6
23jan2000,288.6,27.3,0
24jan2000,286.9,26.87,1
25jan2000,288,27.57,2
26jan2000,285.4,26.8,3
27jan2000,286.25,26.41,4
28jan2000,285.95,26.67,5
29jan2000,285.95,26.67,6
30jan2000,285.95,26.67,0
31jan2000,283.05,26.91,1
01feb2000,282.95,27.5,2
02feb2000,285.25,26.91,3
03feb2000,285.15,27.85,4
04feb2000,295.25,28.13,5
05feb2000,295.25,28.13,6
06feb2000,295.25,28.13,0
07feb2000,314,27.95,1
08feb2000,296.25,27.4,2
09feb2000,310.75,27.77,3
10feb2000,313.5,28.39,4
11feb2000,309.5,27.73,5
12feb2000,309.5,27.73,6
13feb2000,309.5,27.73,0
14feb2000,306.5,28.57,1
15feb2000,303.38,28.57,2
16feb2000,302.63,28.63,3
17feb2000,302.63,27.9,4
18feb2000,303.38,27.77,5
19feb2000,303.38,27.77,6
20feb2000,303.38,27.77,0
21feb2000,305.38,27.1,1
22feb2000,303.13,27.67,2
23feb2000,301.63,28.23,3
24feb2000,300.38,28.5,4
25feb2000,293.75,28.64,5
26feb2000,293.75,28.64,6
27feb2000,293.75,28.64,0
28feb2000,292.5,28.42,1
29feb2000,293.75,29.01,2
01mar2000,293.5,29.91,3
02mar2000,289.25,29.96,4
03mar2000,288.25,29.93,5
04mar2000,288.25,29.93,6
05mar2000,288.25,29.93,0
06mar2000,288.25,30.41,1
07mar2000,292.25,32.52,2
08mar2000,291.55,29.75,3
09mar2000,289.55,29.94,4
10mar2000,290.05,29.44,5
11mar2000,290.05,29.44,6
12mar2000,290.05,29.44,0
13mar2000,291.25,29.04,1
14mar2000,289.35,28.36,2
15mar2000,289.25,27.38,3
16mar2000,287.25,27.78,4
17mar2000,284.25,27.21,5
18mar2000,284.25,27.21,6
19mar2000,284.25,27.21,0
20mar2000,285.05,25.25,1
21mar2000,290.25,25.56,2
22mar2000,288.25,25.12,3
23mar2000,284.5,25.35,4
24mar2000,284.75,25.67,5
25mar2000,284.75,25.67,6
26mar2000,284.75,25.67,0
27mar2000,282.45,25.46,1
28mar2000,280.75,24.85,2
29mar2000,279.75,24.18,3
30mar2000,275.9,24.46,4
31mar2000,277.45,24.84,5
01apr2000,277.45,24.84,6
02apr2000,277.45,24.84,0
03apr2000,278.5,24.32,1
04apr2000,277.4,23.23,2
05apr2000,281.75,23.55,3
06apr2000,279.75,23.08,4
07apr2000,280.25,22.2,5
08apr2000,280.25,22.2,6
09apr2000,280.25,22.2,0
10apr2000,282.2,21.04,1
11apr2000,282.75,21.6,2
12apr2000,282.6,23.07,3
13apr2000,280.75,22.95,4
14apr2000,282.75,22.54,5
15apr2000,282.75,22.54,6
16apr2000,282.75,22.54,0
17apr2000,281.95,22.97,1
18apr2000,280.8,23.06,2
19apr2000,280.75,23.72,3
20apr2000,279.75,23.92,4
21apr2000,279.75,23.92,5
22apr2000,279.75,23.92,6
23apr2000,279.75,23.92,0
24apr2000,279.75,23.92,1
25apr2000,279.75,23.01,2
26apr2000,276.25,22.87,3
27apr2000,276.25,24,4
28apr2000,275.25,24.1,5
29apr2000,275.25,24.1,6
30apr2000,275.25,24.1,0
01may2000,275.25,24.1,1
02may2000,274.75,25.36,2
03may2000,277.05,25.33,3
04may2000,280.75,25.88,4
05may2000,279.25,25.84,5
06may2000,279.25,25.84,6
07may2000,279.25,25.84,0
08may2000,277.75,26.52,1
09may2000,277.35,27.03,2
10may2000,277.95,26.81,3
11may2000,276.95,27.92,4
12may2000,276.75,28.15,5
13may2000,276.75,28.15,6
14may2000,276.75,28.15,0
15may2000,275.5,28.44,1
16may2000,276.25,28.7,2
17may2000,272.65,28.48,3
18may2000,273.35,29.53,4
19may2000,273.75,29.23,5
20may2000,273.75,29.23,6
21may2000,273.75,29.23,0
22may2000,275.55,27.95,1
23may2000,274.35,27.96,2
24may2000,273.75,29.27,3
25may2000,273.25,29.91,4
26may2000,272.5,29.44,5
27may2000,272.5,29.44,6
28may2000,272.5,29.44,0
29may2000,272.5,29.44,1
30may2000,273.25,29.73,2
31may2000,272.65,28.5,3
01jun2000,273.05,29.81,4
02jun2000,280.25,29.62,5
03jun2000,280.25,29.62,6
04jun2000,280.25,29.62,0
05jun2000,283.75,28.62,1
06jun2000,283.75,28.8,2
07jun2000,284.95,29.26,3
