st_gender,st_spg,st_mmog,st_age,st_immig,st_belong,st_repeat,pa_books,pa_educ,pa_escs,W_FSTUWT,math_score,scie_score,read_score,good_math,good_scie,good_read,bad_math,bad_scie,bad_read
Female,Never or hardly ever,Never or hardly ever,16.25,Native,.0171,1,201-500 books,15,.3306,94.71886000000001,487.54349,502.8598,529.16132,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.5,Native,.6642,0,11-25 books,13,-.4779,94.71886000000001,464.79861,487.90869,516.56128,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.42,Native,1.5043,0,101-200 books,18,.9317,94.71886000000001,595.85059,579.7019,657.59613,0,0,1,0,0,0
Male,Once or twice a month,Every day,15.67,Native,.0048,0,26-100 books,13,.6614,101.089,577.69128,553.73938,546.53528,0,0,0,0,0,0
Male,Every day,Every day,15.83,Native,-1.7499,0,201-500 books,10,-.1385,101.089,519.01563,467.86551,471.87009,0,0,0,0,0,0
Male,Almost every day,Every day,15.5,Native,.9357,0,26-100 books,15,.232,101.089,541.21411,538.2691,540.01691,0,0,0,0,0,0
Male,Once or twice a week,Once or twice a week,15.33,Native,-.2588,0,101-200 books,10,.2797,101.089,668.99768,643.96033,568.59198,1,1,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.83,Native,1.5043,0,201-500 books,18,1.6767,102.4555,532.1427,554.69647,636.08942,0,0,1,0,0,0
Female,Once or twice a month,Never or hardly ever,16.08,Native,-.9909,0,26-100 books,13,.033,102.4555,549.49738,556.78979,549.04352,0,0,0,0,0,0
Female,Never or hardly ever,Once or twice a month,16.25,Native,.4315,0,201-500 books,18,1.1095,102.4555,581.02069,643.48981,648.04108,0,1,1,0,0,0
Female,Once or twice a week,Never or hardly ever,15.83,Native,-.4156,0,201-500 books,13,.4183,102.4555,572.39539,612.76563,633.27991,0,1,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,16,Native,.1985,0,101-200 books,10,-.3969,102.4555,562.61432,592.19189,632.63843,0,0,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,16.25,Native,.9646,0,101-200 books,10,-1.115,102.4555,562.06763,554.11658,546.96411,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.75,Native,.3171,0,201-500 books,18,1.423,102.4555,599.93121,590.87231,625.63843,0,0,1,0,0,0
