time,waren
1998m1,155577
1998m2,169954
1998m3,238632
1998m4,256783
1998m5,255397
1998m6,289759
1998m7,308963
1998m8,265067
1998m9,301465
1998m10,296327
1998m11,257377
1998m12,172724
1999m1,162511
1999m2,163523
1999m3,262755
1999m4,271783
1999m5,281193
1999m6,322360
1999m7,308352
1999m8,297504
1999m9,316265
1999m10,310170
1999m11,287527
1999m12,197419
2000m1,163645
2000m2,193219
2000m3,248910
2000m4,232247
2000m5,304426
2000m6,261769
2000m7,276308
2000m8,268932
2000m9,286662
2000m10,283603
2000m11,287493
2000m12,197890
2001m1,181585
2001m2,180752
2001m3,233188
2001m4,228238
2001m5,285762
2001m6,259806
2001m7,276223
2001m8,271762
2001m9,247478
2001m10,286245
2001m11,266577
2001m12,166864
2002m1,164528
2002m2,167253
2002m3,196604
2002m4,249088
2002m5,240806
2002m6,255489
2002m7,262326
2002m8,244108
2002m9,270358
2002m10,270587
2002m11,248144
2002m12,150873
2003m1,145484
2003m2,159763
2003m3,220737
2003m4,239945
2003m5,249468
2003m6,243015
2003m7,274063
2003m8,235160
2003m9,278652
2003m10,281434
2003m11,244320
2003m12,171817
2004m1,138874
2004m2,164715
2004m3,228360
2004m4,243949
2004m5,233903
2004m6,267138
2004m7,260668
2004m8,247276
2004m9,273765
2004m10,264983
2004m11,253040
2004m12,190497
2005m1,149986
2005m2,151193
2005m3,184182
2005m4,245540
2005m5,234283
2005m6,279671
2005m7,260647
2005m8,257163
2005m9,275640
2005m10,261730
2005m11,268531
2005m12,196418
2006m1,155805
2006m2,161760
2006m3,214350
2006m4,217520
2006m5,280146
2006m6,273382
2006m7,278287
2006m8,282893
2006m9,280073
2006m10,282674
2006m11,287305
2006m12,205131
2007m1,186829
2007m2,197819
2007m3,248913
2007m4,248660
2007m5,269025
2007m6,268943
2007m7,288433
2007m8,281431
2007m9,264724
2007m10,305980
2007m11,287165
2007m12,180324
2008m1,204657
2008m2,217346
2008m3,226203
2008m4,280296
2008m5,268255
2008m6,292421
2008m7,303250
2008m8,261961
2008m9,292460
2008m10,299156
2008m11,247521
2008m12,184319
2009m1,146845
2009m2,161774
2009m3,220625
2009m4,238671
2009m5,235045
2009m6,252605
2009m7,274508
2009m8,251044
2009m9,274190
2009m10,277315
2009m11,255493
2009m12,180578
2010m1,125633
2010m2,144122
2010m3,214495
2010m4,237813
2010m5,232217
2010m6,270232
2010m7,275004
2010m8,260412
2010m9,282817
2010m10,282547
2010m11,
2010m12,
