wpi,t,ln_wpi
30.700001,1960q1,3.4242628
30.799999,1960q2,3.4275146
30.700001,1960q3,3.4242628
30.700001,1960q4,3.4242628
30.799999,1961q1,3.4275146
30.5,1961q2,3.4177268
30.5,1961q3,3.4177268
30.6,1961q4,3.421
30.700001,1962q1,3.4242628
30.6,1962q2,3.421
30.700001,1962q3,3.4242628
30.700001,1962q4,3.4242628
30.6,1963q1,3.421
30.5,1963q2,3.4177268
30.6,1963q3,3.421
30.700001,1963q4,3.4242628
30.700001,1964q1,3.4242628
30.6,1964q2,3.421
30.700001,1964q3,3.4242628
30.700001,1964q4,3.4242628
30.9,1965q1,3.4307561
31.200001,1965q2,3.440418
31.4,1965q3,3.4468079
31.6,1965q4,3.4531572
32.099998,1966q1,3.4688561
32.200001,1966q2,3.4719665
32.599998,1966q3,3.4843123
32.400002,1966q4,3.4781585
32.299999,1967q1,3.4750671
32.299999,1967q2,3.4750671
32.400002,1967q3,3.4781585
32.5,1967q4,3.48124
32.900002,1968q1,3.4934728
33.099998,1968q2,3.4995332
33.299999,1968q3,3.5055573
33.400002,1968q4,3.5085559
33.900002,1969q1,3.5234151
34.400002,1969q2,3.5380566
34.700001,1969q3,3.5467398
35,1969q4,3.5553482
35.5,1970q1,3.5695326
35.700001,1970q2,3.5751507
35.900002,1970q3,3.5807374
35.900002,1970q4,3.5807374
36.5,1971q1,3.5973122
36.900002,1971q2,3.6082115
37.200001,1971q3,3.6163087
37.200001,1971q4,3.6163087
37.900002,1972q1,3.6349511
38.299999,1972q2,3.6454499
38.799999,1972q3,3.6584203
39.200001,1972q4,3.6686769
41.099998,1973q1,3.7160082
43.099998,1973q2,3.7635229
44.900002,1973q3,3.8044379
45.299999,1973q4,3.813307
48.299999,1974q1,3.8774316
50,1974q2,3.9120231
53.599998,1974q3,3.981549
55.400002,1974q4,4.0145798
55.400002,1975q1,4.0145798
56,1975q2,4.0253515
57.200001,1975q3,4.0465541
57.799999,1975q4,4.0569887
58.099998,1976q1,4.0621657
59,1976q2,4.0775375
59.700001,1976q3,4.0893321
60.200001,1976q4,4.0976725
61.599998,1977q1,4.1206617
63,1977q2,4.1431346
63.099998,1977q3,4.1447206
63.900002,1977q4,4.1573195
65.400002,1978q1,4.1805224
67.400002,1978q2,4.2106452
68.400002,1978q3,4.2253728
70,1978q4,4.2484951
72.5,1979q1,4.2835865
75.099998,1979q2,4.3188205
77.400002,1979q3,4.3489866
80.199997,1979q4,4.3845234
83.900002,1980q1,4.4296255
85.599998,1980q2,4.4496851
88.400002,1980q3,4.4818721
90.400002,1980q4,4.5042443
93.099998,1981q1,4.5336742
95.199997,1981q2,4.5559797
95.900002,1981q3,4.5633059
95.800003,1981q4,4.5622625
96.599998,1982q1,4.5705786
96.699997,1982q2,4.5716133
97.099998,1982q3,4.5757413
97.199997,1982q4,4.5767708
97.300003,1983q1,4.5777988
97.599998,1983q2,4.5808773
98.599998,1983q3,4.5910711
99.099998,1983q4,4.5961294
100.2,1984q1,4.6071682
100.8,1984q2,4.6131382
100.6,1984q3,4.6111522
100.3,1984q4,4.6081657
100.1,1985q1,4.6061697
100.2,1985q2,4.6071682
99.5,1985q3,4.6001577
100.1,1985q4,4.6061697
98.599998,1986q1,4.5910711
96.800003,1986q2,4.5726471
96.300003,1986q3,4.5674682
96.699997,1986q4,4.5716133
97.800003,1987q1,4.5829248
99.400002,1987q2,4.5991521
100.5,1987q3,4.6101575
101,1987q4,4.6151204
101.6,1988q1,4.6210437
103.2,1988q2,4.6366687
104.7,1988q3,4.6510992
105.2,1988q4,4.6558633
107.5,1989q1,4.6774907
109.4,1989q2,4.6950111
109,1989q3,4.6913481
109.4,1989q4,4.6950111
111,1990q1,4.7095304
110.8,1990q2,4.707727
112.8,1990q3,4.7256165
116.2,1990q4,4.7553129
